
---------- Begin Simulation Statistics ----------
simSeconds                                   1.515510                       # Number of seconds simulated (Second)
simTicks                                 1515509616478                       # Number of ticks simulated (Tick)
finalTick                                1515509616478                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  91748.19                       # Real time elapsed on the host (Second)
hostTickRate                                 16518143                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831788                       # Number of bytes of host memory used (Byte)
simInsts                                   3197281381                       # Number of instructions simulated (Count)
simOps                                     5678819075                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34848                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      61896                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       5298984708                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.657341                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.603376                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     11208279414                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      743                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9789934616                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3237021                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           5529461071                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        9946488193                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 503                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5298848345                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.847559                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.916952                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2898005328     54.69%     54.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 629551115     11.88%     66.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 440697734      8.32%     74.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 231606264      4.37%     79.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 193963385      3.66%     82.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 208953853      3.94%     86.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 178036489      3.36%     90.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 132452029      2.50%     92.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  70830301      1.34%     94.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 105613755      1.99%     96.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 98496534      1.86%     97.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 68564655      1.29%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 36947000      0.70%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3723409      0.07%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1128926      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   203199      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    65004      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     9357      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
