
---------- Begin Simulation Statistics ----------
simSeconds                                   1.514429                       # Number of seconds simulated (Second)
simTicks                                 1514429097610                       # Number of ticks simulated (Tick)
finalTick                                1514429097610                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  88179.95                       # Real time elapsed on the host (Second)
hostTickRate                                 17174303                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     832056                       # Number of bytes of host memory used (Byte)
simInsts                                   3197277237                       # Number of instructions simulated (Count)
simOps                                     5678810151                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36259                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      64400                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       5295206679                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.656161                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.603806                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     11385759603                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      720                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9934792074                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1880745                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           5706950161                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       10134639988                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 480                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5295069292                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.876235                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.837072                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2828709543     53.42%     53.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 635330016     12.00%     65.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 400139433      7.56%     72.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 293724838      5.55%     78.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 194271174      3.67%     82.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 236314302      4.46%     86.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 175953978      3.32%     89.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 127121236      2.40%     92.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 123706554      2.34%     94.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 168424832      3.18%     97.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 54823451      1.04%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 34189618      0.65%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 10414473      0.20%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  9512589      0.18%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1453008      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   725579      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   218045      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    28835      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     6551      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     1047      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      128      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       56      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        6      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5295069292                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1023368      3.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    42      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    51      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  81964      0.24%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      5      0.00%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    134      0.00%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     8      0.00%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      3.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   21      0.00%      3.24% # attempts to use FU when none available (Count)
