
---------- Begin Simulation Statistics ----------
simSeconds                                   1.522190                       # Number of seconds simulated (Second)
simTicks                                 1522189680440                       # Number of ticks simulated (Tick)
finalTick                                1522189680440                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 110472.57                       # Real time elapsed on the host (Second)
hostTickRate                                 13778892                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831764                       # Number of bytes of host memory used (Byte)
simInsts                                   3197281381                       # Number of instructions simulated (Count)
simOps                                     5678819075                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28942                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      51405                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       5322341578                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.664646                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.600728                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     11523465256                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      687                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    10023455279                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1523679                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           5844646857                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       10479192623                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 447                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5322207310                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.883327                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.899802                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2851527635     53.58%     53.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 618503833     11.62%     65.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 440556885      8.28%     73.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 257836611      4.84%     78.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 251412309      4.72%     83.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 228501389      4.29%     87.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 149800450      2.81%     90.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 138626752      2.60%     92.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 105611469      1.98%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  89056060      1.67%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 91681525      1.72%     98.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 35142641      0.66%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 52619057      0.99%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  7982190      0.15%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2618749      0.05%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   437360      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   208039      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    68317      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    14228      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     1420      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      273      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       88      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                       30      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5322207310                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2048835      5.70%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    66      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    52      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      5.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  77640      0.22%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      3      0.00%      5.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    118      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    12      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   19      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%      5.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%      5.92% # attempts to use FU when none available (Count)
