
---------- Begin Simulation Statistics ----------
simSeconds                                   1.785583                       # Number of seconds simulated (Second)
simTicks                                 1785583450508                       # Number of ticks simulated (Tick)
finalTick                                1785583450508                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  86905.84                       # Real time elapsed on the host (Second)
hostTickRate                                 20546185                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831896                       # Number of bytes of host memory used (Byte)
simInsts                                   3197277237                       # Number of instructions simulated (Count)
simOps                                     5678810151                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36790                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      65344                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       6243298818                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.952692                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.512113                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     10014312244                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      561                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9068830156                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  39278                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4335502617                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        6700161951                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 321                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          6243163324                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.452602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.537922                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3622160561     58.02%     58.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 822536961     13.18%     71.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 548016431      8.78%     79.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 328406236      5.26%     85.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 235105250      3.77%     89.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 168019780      2.69%     91.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 123933435      1.99%     93.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 106726015      1.71%     95.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  48861215      0.78%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  67652656      1.08%     97.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 81977217      1.31%     98.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 40275491      0.65%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 20717874      0.33%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 22536206      0.36%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  4417250      0.07%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1401892      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   309958      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   102259      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     6071      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      560      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        6      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
