
---------- Begin Simulation Statistics ----------
simSeconds                                   0.299951                       # Number of seconds simulated (Second)
simTicks                                 299951408900                       # Number of ticks simulated (Tick)
finalTick                                299951408900                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  23028.74                       # Real time elapsed on the host (Second)
hostTickRate                                 13025091                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     877700                       # Number of bytes of host memory used (Byte)
simInsts                                   1538384906                       # Number of instructions simulated (Count)
simOps                                     3183389517                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    66803                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     138236                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1048781215                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.681742                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.466831                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3281860828                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16889                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3256060003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 180267                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             98488186                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         117789502                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2654                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1048441738                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.105618                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.861523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 234170463     22.34%     22.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 132563904     12.64%     34.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 150452021     14.35%     49.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 141858670     13.53%     62.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 113139414     10.79%     73.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  83310913      7.95%     81.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  57096086      5.45%     87.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  40515305      3.86%     90.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  33182818      3.16%     94.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  23950811      2.28%     96.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 16806903      1.60%     97.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 10933332      1.04%     99.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  6086257      0.58%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2795425      0.27%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1034823      0.10%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   341365      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   119556      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    51088      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    21429      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     9721      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      883      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                      551      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                21                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1048441738                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7544573     71.77%     71.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     71.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     71.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   151      0.00%     71.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     71.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 36857      0.35%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      6      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     72.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   7070      0.07%     72.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     72.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    270      0.00%     72.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   413      0.00%     72.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     72.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     72.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     72.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                18007      0.17%     72.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     72.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     72.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     72.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd              1731      0.02%     72.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     72.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     72.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     72.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     72.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     72.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult             1752      0.02%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     72.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                 358111      3.41%     75.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               1414125     13.45%     89.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead             61353      0.58%     89.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite          1067787     10.16%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedStore             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedStore             0      0.00%    100.00% # attempts to use FU when none available (Count)
