
---------- Begin Simulation Statistics ----------
simSeconds                                   0.269174                       # Number of seconds simulated (Second)
simTicks                                 269174320558                       # Number of ticks simulated (Tick)
finalTick                                269174320558                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  22621.28                       # Real time elapsed on the host (Second)
hostTickRate                                 11899163                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     945944                       # Number of bytes of host memory used (Byte)
simInsts                                   1532758040                       # Number of instructions simulated (Count)
simOps                                     3174895175                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67757                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140350                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        941169046                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.614036                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.628568                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3267662501                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    26496                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3245842441                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  84107                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             92793808                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         106584835                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               12297                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           940894727                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.449740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.996574                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 189409481     20.13%     20.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 101462387     10.78%     30.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 122847939     13.06%     43.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 124814458     13.27%     57.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 107215323     11.40%     68.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  86552419      9.20%     77.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  60297656      6.41%     84.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  44655454      4.75%     88.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  34507105      3.67%     92.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  26511228      2.82%     95.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 17990718      1.91%     97.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 12054092      1.28%     98.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  6620939      0.70%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3269077      0.35%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1716405      0.18%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   609261      0.06%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   230953      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    86641      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    25381      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    16293      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     1151      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                      279      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                       87      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             940894727                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11475821     88.99%     88.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   462      0.00%     89.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  9117      0.07%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     11      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     89.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   6056      0.05%     89.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     89.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    322      0.00%     89.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   372      0.00%     89.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     89.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     89.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     89.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                 4893      0.04%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                70      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt               579      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     89.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult             3308      0.03%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     89.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                 406132      3.15%     92.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                553111      4.29%     96.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead             59747      0.46%     97.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           375248      2.91%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedStore             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedStore             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
