
---------- Begin Simulation Statistics ----------
simSeconds                                   0.277782                       # Number of seconds simulated (Second)
simTicks                                 277781831470                       # Number of ticks simulated (Tick)
finalTick                                277781831470                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  22662.04                       # Real time elapsed on the host (Second)
hostTickRate                                 12257585                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     946036                       # Number of bytes of host memory used (Byte)
simInsts                                   1532758040                       # Number of instructions simulated (Count)
simOps                                     3174895175                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67635                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140098                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        971265212                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.633672                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.578105                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3303154419                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    18796                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3265352204                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  17686                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            128278026                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         173105774                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4597                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           970995724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.362890                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.919600                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 193505596     19.93%     19.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 104364956     10.75%     30.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 139481131     14.36%     45.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 130270984     13.42%     58.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 113748662     11.71%     70.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  87405927      9.00%     79.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  61585233      6.34%     85.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  43687858      4.50%     90.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  33225489      3.42%     93.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  24217546      2.49%     95.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 16481224      1.70%     97.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 10694759      1.10%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  6483409      0.67%     99.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3426653      0.35%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1311015      0.14%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   861198      0.09%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   168281      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    34840      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    37758      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     3171      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       29      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             970995724                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4355501     69.55%     69.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     69.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   641      0.01%     69.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                103746      1.66%     71.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     71.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     71.22% # attempts to use FU when none available (Count)
