
---------- Begin Simulation Statistics ----------
simSeconds                                   0.311576                       # Number of seconds simulated (Second)
simTicks                                 311576253274                       # Number of ticks simulated (Tick)
finalTick                                311576253274                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  21688.79                       # Real time elapsed on the host (Second)
hostTickRate                                 14365773                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     945240                       # Number of bytes of host memory used (Byte)
simInsts                                   1532758040                       # Number of instructions simulated (Count)
simOps                                     3174895175                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70671                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     146384                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1089427500                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.710763                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.406939                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3239919858                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    15468                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3228984631                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  58564                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             65040093                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          68014661                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1269                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1089143596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.964701                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.854312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 271651655     24.94%     24.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 144747074     13.29%     38.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 146970964     13.49%     51.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 143540136     13.18%     64.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 105226476      9.66%     74.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  84427123      7.75%     82.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  58538524      5.37%     87.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  43660825      4.01%     91.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  28583671      2.62%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  23963394      2.20%     96.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 17313811      1.59%     98.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  9711312      0.89%     99.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  6542845      0.60%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2863044      0.26%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1301714      0.12%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    99863      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     1136      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       27      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                20                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1089143596                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3143873     58.55%     58.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     58.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     58.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   486      0.01%     58.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     58.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    43      0.00%     58.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     58.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     58.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     58.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     58.56% # attempts to use FU when none available (Count)
