
---------- Begin Simulation Statistics ----------
simSeconds                                   0.272667                       # Number of seconds simulated (Second)
simTicks                                 272667234268                       # Number of ticks simulated (Tick)
finalTick                                272667234268                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  23528.76                       # Real time elapsed on the host (Second)
hostTickRate                                 11588679                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     945972                       # Number of bytes of host memory used (Byte)
simInsts                                   1532758040                       # Number of instructions simulated (Count)
simOps                                     3174895175                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    65144                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     134937                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        953382009                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.622004                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.607706                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3288132095                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    18343                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3263214691                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  42544                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            113255179                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         126930967                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4144                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           953106926                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.423766                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.126380                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 219538997     23.03%     23.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99104147     10.40%     33.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 114404853     12.00%     45.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 115384564     12.11%     57.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 106014236     11.12%     68.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  81059543      8.50%     77.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  60604734      6.36%     83.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  45873580      4.81%     88.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  37185763      3.90%     92.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  24596002      2.58%     94.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 18444771      1.94%     96.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 14269578      1.50%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  8595871      0.90%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3397328      0.36%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2877656      0.30%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1035711      0.11%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   591044      0.06%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   123679      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     4500      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      359      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       10      0.00%    100.00% # Number of insts issued each cycle (Count)
