
---------- Begin Simulation Statistics ----------
simSeconds                                   0.274295                       # Number of seconds simulated (Second)
simTicks                                 274294955792                       # Number of ticks simulated (Tick)
finalTick                                274294955792                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  22644.53                       # Real time elapsed on the host (Second)
hostTickRate                                 12113079                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     946208                       # Number of bytes of host memory used (Byte)
simInsts                                   1532758040                       # Number of instructions simulated (Count)
simOps                                     3174895175                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67688                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140206                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        959073360                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.625717                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.598166                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3252459986                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19406                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3234800944                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  41766                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             77584107                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          87293276                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5207                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           958803331                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.373790                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.935220                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 186790738     19.48%     19.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 111000612     11.58%     31.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 136410976     14.23%     45.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 126263862     13.17%     58.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 110396091     11.51%     69.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  87469478      9.12%     79.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  58416342      6.09%     85.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  43772666      4.57%     89.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  33011678      3.44%     93.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  25490282      2.66%     95.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 17186827      1.79%     97.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 10676400      1.11%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  5639122      0.59%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3769999      0.39%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1230536      0.13%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   848743      0.09%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   400788      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    24870      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     2951      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      335      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       24      0.00%    100.00% # Number of insts issued each cycle (Count)
