
---------- Begin Simulation Statistics ----------
simSeconds                                   0.333331                       # Number of seconds simulated (Second)
simTicks                                 333330960534                       # Number of ticks simulated (Tick)
finalTick                                333330960534                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  22997.25                       # Real time elapsed on the host (Second)
hostTickRate                                 14494384                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     877728                       # Number of bytes of host memory used (Byte)
simInsts                                   1538384906                       # Number of instructions simulated (Count)
simOps                                     3183389517                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    66894                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     138425                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1165492926                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.757608                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.319944                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3302723786                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   232035                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3273577873                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1560                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            119566207                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         140047833                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              217800                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1165160488                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.809551                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.761472                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 273892884     23.51%     23.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 185017722     15.88%     39.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 195228939     16.76%     56.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 143574745     12.32%     68.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 107559815      9.23%     77.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  73247732      6.29%     83.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  55157624      4.73%     88.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  42700076      3.66%     92.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  30581653      2.62%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  23446203      2.01%     97.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 15436425      1.32%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  9336422      0.80%     99.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  4984707      0.43%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3244002      0.28%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   840398      0.07%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   369734      0.03%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   246677      0.02%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   264616      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1407      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    24964      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     3742      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
