
---------- Begin Simulation Statistics ----------
simSeconds                                   3.348427                       # Number of seconds simulated (Second)
simTicks                                 3348427447508                       # Number of ticks simulated (Tick)
finalTick                                3348427447508                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 191829.76                       # Real time elapsed on the host (Second)
hostTickRate                                 17455203                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     809676                       # Number of bytes of host memory used (Byte)
simInsts                                  15961168518                       # Number of instructions simulated (Count)
simOps                                    29033050642                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83205                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     151348                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      11707791870                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.733517                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.363295                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     33058378232                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1064                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    32047234017                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               32366680                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4025328648                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        6043408473                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 309                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         11706242683                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.737619                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.488251                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3616043660     30.89%     30.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1107909020      9.46%     40.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1164090519      9.94%     50.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1172465479     10.02%     60.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1423282632     12.16%     72.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                1401124506     11.97%     84.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 903060365      7.71%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 525343220      4.49%     96.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 259853702      2.22%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 110295682      0.94%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 22773898      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           11706242683                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               904290616     79.25%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  3178      0.00%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   114      0.00%     79.25% # attempts to use FU when none available (Count)
