
---------- Begin Simulation Statistics ----------
simSeconds                                   2.606081                       # Number of seconds simulated (Second)
simTicks                                 2606080889698                       # Number of ticks simulated (Tick)
finalTick                                2606080889698                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 206109.14                       # Real time elapsed on the host (Second)
hostTickRate                                 12644179                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812728                       # Number of bytes of host memory used (Byte)
simInsts                                  15961172266                       # Number of instructions simulated (Count)
simOps                                    29033058795                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    77440                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140863                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9112172407                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.570896                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.751632                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     35895473904                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1250                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    33992334718                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                7023302                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           6862416353                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       10486895441                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 495                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9111261642                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.730804                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.554933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2613227431     28.68%     28.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 766531926      8.41%     37.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 760579138      8.35%     45.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 741230861      8.14%     53.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 747572317      8.20%     61.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 700529808      7.69%     69.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 655937715      7.20%     76.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 556383030      6.11%     82.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 497644855      5.46%     88.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 390346568      4.28%     92.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                274336183      3.01%     95.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                182712422      2.01%     97.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                106768156      1.17%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 60347107      0.66%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 30115203      0.33%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 15439078      0.17%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  6996078      0.08%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  3157933      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                  1110289      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   231623      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    51945      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                    10094      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                     1882      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9111261642                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               185471190     81.32%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    42      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   113      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      5      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     81.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    489      0.00%     81.32% # attempts to use FU when none available (Count)
