
---------- Begin Simulation Statistics ----------
simSeconds                                   2.900253                       # Number of seconds simulated (Second)
simTicks                                 2900253057130                       # Number of ticks simulated (Tick)
finalTick                                2900253057130                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 200718.46                       # Real time elapsed on the host (Second)
hostTickRate                                 14449359                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812600                       # Number of bytes of host memory used (Byte)
simInsts                                  15961172266                       # Number of instructions simulated (Count)
simOps                                    29033058795                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79520                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     144646                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10140746942                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.635338                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.573964                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     36355472897                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1288                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    34346680806                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2923829                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           7322415379                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       10832146044                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 533                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10139830569                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.387303                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.372941                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2804206783     27.66%     27.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1203365870     11.87%     39.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1054558109     10.40%     49.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 929109427      9.16%     59.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 851443458      8.40%     67.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 734550071      7.24%     74.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 595509436      5.87%     80.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 551448379      5.44%     86.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 445820510      4.40%     90.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 333850859      3.29%     93.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                237343654      2.34%     96.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                175057490      1.73%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                115612279      1.14%     98.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 62750870      0.62%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 26315032      0.26%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 12072681      0.12%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  4585951      0.05%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  1571728      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   399010      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   208885      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    46869      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     2844      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                      374      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10139830569                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                41636878     54.28%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    53      0.00%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   140      0.00%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.28% # attempts to use FU when none available (Count)
