
---------- Begin Simulation Statistics ----------
simSeconds                                   3.417936                       # Number of seconds simulated (Second)
simTicks                                 3417936263170                       # Number of ticks simulated (Tick)
finalTick                                3417936263170                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 186390.47                       # Real time elapsed on the host (Second)
hostTickRate                                 18337506                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812404                       # Number of bytes of host memory used (Byte)
simInsts                                  15961172266                       # Number of instructions simulated (Count)
simOps                                    29033058795                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85633                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     155765                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      11950828199                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.748744                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.335570                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     33102566082                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1066                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    32135058538                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 625096                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4069508342                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        5495241918                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 311                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         11949788852                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.689174                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.963057                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4031189460     33.73%     33.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1451699203     12.15%     45.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1391902867     11.65%     57.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1307002897     10.94%     68.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 972893836      8.14%     76.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 767660641      6.42%     83.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 570681226      4.78%     87.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 411388351      3.44%     91.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 342226395      2.86%     94.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 271249047      2.27%     96.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                184471862      1.54%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                125339046      1.05%     98.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 73524382      0.62%     99.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 29111892      0.24%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 13908061      0.12%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  3556836      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   799482      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   616986      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   497690      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    66574      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     1021      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     1089      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
