
---------- Begin Simulation Statistics ----------
simSeconds                                   2.795565                       # Number of seconds simulated (Second)
simTicks                                 2795565307392                       # Number of ticks simulated (Tick)
finalTick                                2795565307392                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 211889.16                       # Real time elapsed on the host (Second)
hostTickRate                                 13193527                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812616                       # Number of bytes of host memory used (Byte)
simInsts                                  15961172266                       # Number of instructions simulated (Count)
simOps                                    29033058795                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    75328                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     137020                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9774705066                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.612405                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.632906                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     35444243681                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1211                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    33725078367                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                5644974                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           6411186086                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        9427298758                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 456                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9773710663                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.450591                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.498687                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2993661990     30.63%     30.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1011932034     10.35%     40.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 834353826      8.54%     49.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 835797942      8.55%     58.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 759873025      7.77%     65.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 678095446      6.94%     72.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 614896684      6.29%     79.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 505547587      5.17%     84.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 465609886      4.76%     89.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 386330726      3.95%     92.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                280606303      2.87%     95.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                191720220      1.96%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                117262409      1.20%     99.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 56627052      0.58%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 20155278      0.21%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 11465908      0.12%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  5097241      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  2467904      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                  1477113      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   410988      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                   144227      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                   124654      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                    52220      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9773710663                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               161079694     76.08%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    50      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   119      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    318      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     52      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    28      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   37      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     76.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     76.08% # attempts to use FU when none available (Count)
