
---------- Begin Simulation Statistics ----------
simSeconds                                   2.620308                       # Number of seconds simulated (Second)
simTicks                                 2620307714596                       # Number of ticks simulated (Tick)
finalTick                                2620307714596                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 191921.26                       # Real time elapsed on the host (Second)
hostTickRate                                 13653036                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     813016                       # Number of bytes of host memory used (Byte)
simInsts                                  15961168518                       # Number of instructions simulated (Count)
simOps                                    29033050642                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83165                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     151276                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9161916246                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.574013                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.742121                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     35091463824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1284                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    33521061644                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                6026032                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           6058414455                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        8685301187                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 529                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9161007492                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.659102                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.585761                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2727954938     29.78%     29.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 778539978      8.50%     38.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 813082612      8.88%     47.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 787436474      8.60%     55.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 685068065      7.48%     63.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 625281715      6.83%     70.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 616792531      6.73%     76.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 538556971      5.88%     82.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 476077660      5.20%     87.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 381677171      4.17%     92.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                286508087      3.13%     95.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                209066893      2.28%     97.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                126926505      1.39%     98.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 59562522      0.65%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 28087041      0.31%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 11996515      0.13%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  6148183      0.07%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  1612319      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   336420      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   212280      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    29917      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                    44316      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                     8379      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9161007492                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               160998331     75.04%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    22      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   126      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    332      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     60      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    29      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   19      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     75.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               42946547     20.02%     95.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               7275169      3.39%     98.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead             33768      0.02%     98.46% # attempts to use FU when none available (Count)
