
---------- Begin Simulation Statistics ----------
simSeconds                                   2.881450                       # Number of seconds simulated (Second)
simTicks                                 2881449818390                       # Number of ticks simulated (Tick)
finalTick                                2881449818390                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 211795.21                       # Real time elapsed on the host (Second)
hostTickRate                                 13604886                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     813072                       # Number of bytes of host memory used (Byte)
simInsts                                  15961168518                       # Number of instructions simulated (Count)
simOps                                    29033050642                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    75361                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     137081                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10075000181                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.631219                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.584235                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     35617905993                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1207                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    33824529001                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                4763498                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           6584856547                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        9788939175                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 452                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10074014532                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.357602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.443703                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3077336090     30.55%     30.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1095207277     10.87%     41.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 999480218      9.92%     51.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 818145994      8.12%     59.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 780093195      7.74%     67.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 673050533      6.68%     73.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 615299973      6.11%     79.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 491770869      4.88%     84.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 482820683      4.79%     89.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 366888823      3.64%     93.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                279816448      2.78%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                185880129      1.85%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                119820703      1.19%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 52225119      0.52%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 19910145      0.20%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  9881277      0.10%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  4506687      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  1236321      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   471881      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   120068      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    41775      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     7225      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                     3099      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10074014532                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               147617294     73.69%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    21      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   114      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    321      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     23      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    35      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   47      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     73.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     73.69% # attempts to use FU when none available (Count)
