
---------- Begin Simulation Statistics ----------
simSeconds                                   3.912328                       # Number of seconds simulated (Second)
simTicks                                 3912327942952                       # Number of ticks simulated (Tick)
finalTick                                3912327942952                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 225290.80                       # Real time elapsed on the host (Second)
hostTickRate                                 17365680                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     810012                       # Number of bytes of host memory used (Byte)
simInsts                                  15961168518                       # Number of instructions simulated (Count)
simOps                                    29033050642                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70847                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     128869                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      13679469776                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.857047                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.166797                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     33923924048                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1084                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    32627885542                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               14789584                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4890874471                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        7192666220                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 329                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13678022508                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.385424                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.308847                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4319691148     31.58%     31.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1819178413     13.30%     44.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1762128809     12.88%     57.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1492274921     10.91%     68.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1423375468     10.41%     79.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                1208235170      8.83%     87.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 876438382      6.41%     94.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 487649125      3.57%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 210548844      1.54%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  68640173      0.50%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  9862055      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           13678022508                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               422792285     65.64%     65.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     65.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     65.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1074      0.00%     65.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     65.64% # attempts to use FU when none available (Count)
