
---------- Begin Simulation Statistics ----------
simSeconds                                   2.886457                       # Number of seconds simulated (Second)
simTicks                                 2886456651078                       # Number of ticks simulated (Tick)
finalTick                                2886456651078                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 200858.23                       # Real time elapsed on the host (Second)
hostTickRate                                 14370617                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812564                       # Number of bytes of host memory used (Byte)
simInsts                                  15961172266                       # Number of instructions simulated (Count)
simOps                                    29033058795                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79465                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     144545                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10092506811                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.632316                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.581487                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     36945453046                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1191                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    34617530482                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2115823                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           7912395418                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       12373127095                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 436                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10091614892                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.430326                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.431910                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2929353530     29.03%     29.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1078428792     10.69%     39.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 949466845      9.41%     49.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 839536818      8.32%     57.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 989733434      9.81%     67.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 688084736      6.82%     74.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 618060681      6.12%     80.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 546751177      5.42%     85.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 437096823      4.33%     89.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 337002837      3.34%     93.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                253183264      2.51%     95.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                189142464      1.87%     97.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                112277259      1.11%     98.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 67395346      0.67%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 34086604      0.34%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 13141701      0.13%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  5265196      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  2772430      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   680016      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   141303      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    12510      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     1096      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                       30      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10091614892                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                62899069     58.18%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    53      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      4      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     61      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    1      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     58.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     58.18% # attempts to use FU when none available (Count)
