
---------- Begin Simulation Statistics ----------
simSeconds                                   3.838768                       # Number of seconds simulated (Second)
simTicks                                 3838767738806                       # Number of ticks simulated (Tick)
finalTick                                3838767738806                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 201948.57                       # Real time elapsed on the host (Second)
hostTickRate                                 19008640                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812828                       # Number of bytes of host memory used (Byte)
simInsts                                  15961168518                       # Number of instructions simulated (Count)
simOps                                    29033050642                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79036                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     143765                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      13422265469                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.840933                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.189156                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     34173485453                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1125                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    32756243841                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 411461                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           5140435899                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        7487070812                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 370                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13421350470                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.440607                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.756016                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4391591256     32.72%     32.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2117658856     15.78%     48.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1879895508     14.01%     62.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1374252492     10.24%     72.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1024003017      7.63%     80.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 772651289      5.76%     86.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 526640208      3.92%     90.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 400744983      2.99%     93.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 313485309      2.34%     95.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 242258125      1.81%     97.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                172973582      1.29%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                107768715      0.80%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 57534554      0.43%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 26547921      0.20%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  9016515      0.07%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  3072818      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   978092      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   205322      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    61154      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     6006      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     1268      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     3284      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                      196      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           13421350470                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                22029024     42.28%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     8      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     42.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     42.28% # attempts to use FU when none available (Count)
