
---------- Begin Simulation Statistics ----------
simSeconds                                   1.169354                       # Number of seconds simulated (Second)
simTicks                                 1169353795896                       # Number of ticks simulated (Tick)
finalTick                                1169353795896                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  79360.54                       # Real time elapsed on the host (Second)
hostTickRate                                 14734701                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     834800                       # Number of bytes of host memory used (Byte)
simInsts                                   6135313963                       # Number of instructions simulated (Count)
simOps                                    11742006028                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    77309                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     147958                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4088649683                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.666412                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.500572                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12193607493                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4808                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    12089294069                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2477982                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            451606267                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         779783083                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2048                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4087786600                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.957418                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.557404                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1117139565     27.33%     27.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 411525393     10.07%     37.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 418685960     10.24%     47.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 412524693     10.09%     57.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 454042635     11.11%     68.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 517621266     12.66%     81.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 344959481      8.44%     89.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 232904043      5.70%     95.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 118613590      2.90%     98.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  48147840      1.18%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 11622134      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4087786600                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               144130982     35.64%     35.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd             133932976     33.12%     68.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     68.76% # attempts to use FU when none available (Count)
