
---------- Begin Simulation Statistics ----------
simSeconds                                   1.129766                       # Number of seconds simulated (Second)
simTicks                                 1129766313676                       # Number of ticks simulated (Tick)
finalTick                                1129766313676                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  72453.04                       # Real time elapsed on the host (Second)
hostTickRate                                 15593083                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     837884                       # Number of bytes of host memory used (Byte)
simInsts                                   6135313963                       # Number of instructions simulated (Count)
simOps                                    11742006028                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    84680                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     162064                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3950232153                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.643852                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.553153                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12246228814                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4909                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    12106433780                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 273068                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            504227689                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         855618495                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2149                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3949468640                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.065332                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.206038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1255430984     31.79%     31.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 409125241     10.36%     42.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 420320418     10.64%     52.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 385595551      9.76%     62.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 350223801      8.87%     71.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 277514178      7.03%     78.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 225238751      5.70%     84.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 178415543      4.52%     88.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 143077323      3.62%     92.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 106977533      2.71%     95.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 81222738      2.06%     97.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 53726593      1.36%     98.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 33020688      0.84%     99.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 17414974      0.44%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  7197110      0.18%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  3327448      0.08%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   990225      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   475324      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   113482      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    58649      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     1883      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       54      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                      149      0.00%    100.00% # Number of insts issued each cycle (Count)
