
---------- Begin Simulation Statistics ----------
simSeconds                                   1.269178                       # Number of seconds simulated (Second)
simTicks                                 1269178216878                       # Number of ticks simulated (Tick)
finalTick                                1269178216878                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  68580.26                       # Real time elapsed on the host (Second)
hostTickRate                                 18506466                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     837588                       # Number of bytes of host memory used (Byte)
simInsts                                   6140246584                       # Number of instructions simulated (Count)
simOps                                    11752957417                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89534                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     171375                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4437686136                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.722721                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.383660                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12078617476                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4717                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    12010426787                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  32223                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            325664765                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         480247183                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1957                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4436931150                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.706922                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.843479                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1336334452     30.12%     30.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 535972546     12.08%     42.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 657428147     14.82%     57.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 510225207     11.50%     68.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 417722497      9.41%     77.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 281591579      6.35%     84.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 198523531      4.47%     88.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 165973933      3.74%     92.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 110313135      2.49%     94.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  84905472      1.91%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 51916627      1.17%     98.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 38957407      0.88%     98.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 24196091      0.55%     99.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 15221938      0.34%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  3931719      0.09%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1271578      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  1269732      0.03%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  1068720      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   106337      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      443      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       45      0.00%    100.00% # Number of insts issued each cycle (Count)
