
---------- Begin Simulation Statistics ----------
simSeconds                                   0.962541                       # Number of seconds simulated (Second)
simTicks                                 962541358922                       # Number of ticks simulated (Tick)
finalTick                                962541358922                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  74978.67                       # Real time elapsed on the host (Second)
hostTickRate                                 12837535                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     838340                       # Number of bytes of host memory used (Byte)
simInsts                                   6140246584                       # Number of instructions simulated (Count)
simOps                                    11752957417                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    81893                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     156751                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3365529641                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.548110                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.824452                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12494865520                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6116                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    12307770186                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 852524                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            741914208                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1130512788                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                3356                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3364826621                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.657772                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.814020                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1108826212     32.95%     32.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 294596536      8.76%     41.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 260192622      7.73%     49.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 228488253      6.79%     56.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 246124393      7.31%     63.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 246450276      7.32%     70.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 178966146      5.32%     76.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 189501464      5.63%     81.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 149661122      4.45%     86.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 130910805      3.89%     90.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                101405095      3.01%     93.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 64237872      1.91%     95.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 94605585      2.81%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 44602505      1.33%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 18736750      0.56%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  5373759      0.16%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  1136639      0.03%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   562465      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   170706      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   276244      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      748      0.00%    100.00% # Number of insts issued each cycle (Count)
