
---------- Begin Simulation Statistics ----------
simSeconds                                   0.957494                       # Number of seconds simulated (Second)
simTicks                                 957493579042                       # Number of ticks simulated (Tick)
finalTick                                957493579042                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  79899.19                       # Real time elapsed on the host (Second)
hostTickRate                                 11983771                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     838352                       # Number of bytes of host memory used (Byte)
simInsts                                   6140246584                       # Number of instructions simulated (Count)
simOps                                    11752957417                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76850                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     147097                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3347880077                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.545235                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.834070                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12463797928                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5376                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    12283699153                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 693965                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            710845876                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1089969407                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2616                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3347191479                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.669853                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.864523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1116501091     33.36%     33.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 279681744      8.36%     41.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 235294987      7.03%     48.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 240060285      7.17%     55.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 272143091      8.13%     64.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 239694880      7.16%     71.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 187383724      5.60%     76.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 169704065      5.07%     81.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 152550060      4.56%     86.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 126784256      3.79%     90.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 97141375      2.90%     93.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 64118655      1.92%     95.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 77319553      2.31%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 36081006      1.08%     98.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 21619741      0.65%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 25174856      0.75%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  2944490      0.09%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  2403199      0.07%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   581886      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     6547      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     1963      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       24      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3347191479                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                22734304      9.89%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  5667      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   312      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      9.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu               35252365     15.33%     25.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                  52769      0.02%     25.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  50410      0.02%     25.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc              54104985     23.53%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   23      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     48.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd          79866180     34.74%     83.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     83.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                56      0.00%     83.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt           6181498      2.69%     86.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv              6455      0.00%     86.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     86.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult           833321      0.36%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     86.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               15233635      6.63%     93.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               1740317      0.76%     93.98% # attempts to use FU when none available (Count)
