
---------- Begin Simulation Statistics ----------
simSeconds                                   1.219291                       # Number of seconds simulated (Second)
simTicks                                 1219291232588                       # Number of ticks simulated (Tick)
finalTick                                1219291232588                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  77271.25                       # Real time elapsed on the host (Second)
hostTickRate                                 15779364                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     837964                       # Number of bytes of host memory used (Byte)
simInsts                                   6135313963                       # Number of instructions simulated (Count)
simOps                                    11742006028                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79400                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     151958                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4263256240                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.694872                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.439115                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     12327826680                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5041                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    12185129454                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  15646                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            585825656                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         855393025                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2281                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4262524285                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.858665                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.919082                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1218373769     28.58%     28.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 508099930     11.92%     40.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 619359332     14.53%     55.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 496019307     11.64%     66.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 369867308      8.68%     75.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 309292936      7.26%     82.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 191978443      4.50%     87.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 186885328      4.38%     91.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 112411608      2.64%     94.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 105198025      2.47%     96.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 47204630      1.11%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 60355175      1.42%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 18745504      0.44%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  9799151      0.23%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  4560191      0.11%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  3964079      0.09%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   381512      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    25827      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1918      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      131      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      176      0.00%    100.00% # Number of insts issued each cycle (Count)
