
---------- Begin Simulation Statistics ----------
simSeconds                                   0.494986                       # Number of seconds simulated (Second)
simTicks                                 494986212578                       # Number of ticks simulated (Tick)
finalTick                                494986212578                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  36383.24                       # Real time elapsed on the host (Second)
hostTickRate                                 13604788                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     912548                       # Number of bytes of host memory used (Byte)
simInsts                                   3003495644                       # Number of instructions simulated (Count)
simOps                                     5081959638                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    82552                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     139679                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1730721809                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.576236                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.735401                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5141764817                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   376875                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     5141812628                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  83608                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             60182048                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          81527547                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               31088                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1730048319                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.972063                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.983752                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 431899658     24.96%     24.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 263996321     15.26%     40.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 237058218     13.70%     53.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 206335796     11.93%     65.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 155635327      9.00%     74.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 112992513      6.53%     81.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  91355496      5.28%     86.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  66461260      3.84%     90.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  54204284      3.13%     93.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  38779848      2.24%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 27859208      1.61%     97.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 20624518      1.19%     98.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 11157032      0.64%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  6096603      0.35%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  3068885      0.18%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1446230      0.08%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   625138      0.04%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   292862      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   108285      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    36879      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    10086      0.00%    100.00% # Number of insts issued each cycle (Count)
