
---------- Begin Simulation Statistics ----------
simSeconds                                   0.533182                       # Number of seconds simulated (Second)
simTicks                                 533182496418                       # Number of ticks simulated (Tick)
finalTick                                533182496418                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  33446.72                       # Real time elapsed on the host (Second)
hostTickRate                                 15941249                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     912676                       # Number of bytes of host memory used (Byte)
simInsts                                   3003491039                       # Number of instructions simulated (Count)
simOps                                     5081949396                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89799                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     151942                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1864274515                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.620703                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.611078                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5135069755                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   376830                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     5122785895                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  54095                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             53497178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          66543336                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               31043                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1863600063                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.748865                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.814952                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 476917197     25.59%     25.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 300015843     16.10%     41.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 275272158     14.77%     56.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 240383220     12.90%     69.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 173684109      9.32%     78.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 115214094      6.18%     84.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  76696910      4.12%     88.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  62409917      3.35%     92.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  46174607      2.48%     94.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  33268411      1.79%     96.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 24975327      1.34%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 17342719      0.93%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 10547386      0.57%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  5653258      0.30%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  3260349      0.17%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   906182      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   503150      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   268128      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    87305      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     5813      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      234      0.00%    100.00% # Number of insts issued each cycle (Count)
