
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000018                       # Number of seconds simulated (Second)
simTicks                                     17516928                       # Number of ticks simulated (Tick)
finalTick                                    17516928                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.46                       # Real time elapsed on the host (Second)
hostTickRate                                 38389985                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     719740                       # Number of bytes of host memory used (Byte)
simInsts                                        10897                       # Number of instructions simulated (Count)
simOps                                          22163                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    23875                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      48557                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                            61249                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.620721                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.177913                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           53097                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                          43280                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     81                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                30900                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             56208                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples               36917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.172360                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.486774                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     26310     71.27%     71.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      2585      7.00%     78.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      1852      5.02%     83.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      1296      3.51%     86.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      1190      3.22%     90.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       736      1.99%     92.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       682      1.85%     93.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       555      1.50%     95.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       498      1.35%     96.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       430      1.16%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      314      0.85%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      196      0.53%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                      151      0.41%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                       60      0.16%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                       24      0.07%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                       17      0.05%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                       11      0.03%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                        5      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        3      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        2      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 36917                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     126     54.78%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     54.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     26     11.30%     66.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     66.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     17      7.39%     73.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     2      0.87%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     74.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     74.35% # attempts to use FU when none available (Count)
