
---------- Begin Simulation Statistics ----------
simSeconds                                   0.544660                       # Number of seconds simulated (Second)
simTicks                                 544659834290                       # Number of ticks simulated (Tick)
finalTick                                544659834290                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  36676.50                       # Real time elapsed on the host (Second)
hostTickRate                                 14850377                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     909884                       # Number of bytes of host memory used (Byte)
simInsts                                   3003495619                       # Number of instructions simulated (Count)
simOps                                     5081959590                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    81892                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     138562                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1904408512                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.634064                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.577128                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5136221795                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   377048                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     5225092398                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 210393                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             54639234                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          70839014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               31261                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1903606608                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.744838                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.377375                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 434887157     22.85%     22.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 289207545     15.19%     38.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 278046792     14.61%     52.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 231209398     12.15%     64.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 205298766     10.78%     75.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 177846362      9.34%     84.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 130854268      6.87%     91.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  88245368      4.64%     96.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  44537660      2.34%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  18141183      0.95%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  5332109      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1903606608                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9178900      5.74%      5.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%      5.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               6371811      3.98%      9.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.72% # attempts to use FU when none available (Count)
