
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000145                       # Number of seconds simulated (Second)
simTicks                                    144766050                       # Number of ticks simulated (Tick)
finalTick                                   144766050                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.84                       # Real time elapsed on the host (Second)
hostTickRate                                 24793182                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     787288                       # Number of bytes of host memory used (Byte)
simInsts                                       441726                       # Number of instructions simulated (Count)
simOps                                         735250                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    75650                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     125918                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                           506178                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.145909                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.872669                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          880770                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      209                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         838236                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    645                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               145710                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            266628                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              418399                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.003437                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.415782                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    194869     46.57%     46.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     37170      8.88%     55.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     37890      9.06%     64.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     36568      8.74%     73.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     34031      8.13%     81.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     28617      6.84%     88.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     23655      5.65%     93.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     13886      3.32%     97.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      8979      2.15%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      1931      0.46%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      803      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                418399                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5696     40.71%     40.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     40.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    25      0.18%     40.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.89% # attempts to use FU when none available (Count)
