
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000112                       # Number of seconds simulated (Second)
simTicks                                    112444332                       # Number of ticks simulated (Tick)
finalTick                                   112444332                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.21                       # Real time elapsed on the host (Second)
hostTickRate                                 34988861                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     786880                       # Number of bytes of host memory used (Byte)
simInsts                                       192253                       # Number of instructions simulated (Count)
simOps                                         344988                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    59820                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     107344                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                           393165                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.045040                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.488988                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          436880                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      188                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         405449                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3842                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                92074                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            163130                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  70                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              300998                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.347016                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.987356                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    183010     60.80%     60.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     21711      7.21%     68.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     18182      6.04%     74.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     16355      5.43%     79.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     24046      7.99%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     29392      9.76%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4911      1.63%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2022      0.67%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       885      0.29%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       375      0.12%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      109      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                300998                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13113     70.54%     70.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     70.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     70.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    23      0.12%     70.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     70.67% # attempts to use FU when none available (Count)
