
---------- Begin Simulation Statistics ----------
simSeconds                                   2.819016                       # Number of seconds simulated (Second)
simTicks                                 2819015540198                       # Number of ticks simulated (Tick)
finalTick                                2819015540198                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  80759.80                       # Real time elapsed on the host (Second)
hostTickRate                                 34906171                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     829324                       # Number of bytes of host memory used (Byte)
simInsts                                   6477530166                       # Number of instructions simulated (Count)
simOps                                     9001900567                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    80207                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     111465                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9856697694                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.521675                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.657170                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9049974326                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      369                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9136189266                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 767207                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             48074122                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          61221766                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 204                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9856567129                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.926914                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.857393                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7055492078     71.58%     71.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 827590793      8.40%     79.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 350224606      3.55%     83.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 504315988      5.12%     88.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 314038857      3.19%     91.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 442534320      4.49%     96.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 132243760      1.34%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 105134879      1.07%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  55945169      0.57%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  41060586      0.42%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 27986093      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9856567129                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                26185832      7.98%      7.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              47921378     14.59%     22.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     22.57% # attempts to use FU when none available (Count)
