
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000523                       # Number of seconds simulated (Second)
simTicks                                    522643264                       # Number of ticks simulated (Tick)
finalTick                                   522643264                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     34.12                       # Real time elapsed on the host (Second)
hostTickRate                                 15316924                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     787812                       # Number of bytes of host memory used (Byte)
simInsts                                      5238643                       # Number of instructions simulated (Count)
simOps                                        8063409                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   153527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     236311                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1827425                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.348836                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.866680                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         8276695                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      213                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8279266                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3015                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               213493                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            415579                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  95                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1735286                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.771125                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.867979                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    255223     14.71%     14.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     67991      3.92%     18.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     86385      4.98%     23.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    117001      6.74%     30.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    178056     10.26%     40.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    254589     14.67%     55.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    250133     14.41%     69.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    213899     12.33%     82.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    154432      8.90%     90.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    106984      6.17%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    50593      2.92%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1735286                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   60379     33.56%     33.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     33.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     33.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    17      0.01%     33.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     33.57% # attempts to use FU when none available (Count)
