
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000592                       # Number of seconds simulated (Second)
simTicks                                    591923046                       # Number of ticks simulated (Tick)
finalTick                                   591923046                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     33.98                       # Real time elapsed on the host (Second)
hostTickRate                                 17419247                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     790424                       # Number of bytes of host memory used (Byte)
simInsts                                      5238643                       # Number of instructions simulated (Count)
simOps                                        8063409                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   154163                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     237291                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2069684                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.395080                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.531132                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         8221245                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      216                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8192756                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     99                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               158046                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            276217                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1982117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.133336                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.150006                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    315554     15.92%     15.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    162631      8.20%     24.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    216372     10.92%     35.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    228401     11.52%     46.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    231763     11.69%     58.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    199937     10.09%     68.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    173282      8.74%     77.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    133248      6.72%     83.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    111883      5.64%     89.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                     86518      4.36%     93.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    58718      2.96%     96.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    33091      1.67%     98.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    17737      0.89%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     8534      0.43%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     3026      0.15%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      914      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      400      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      101      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        5      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                20                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1982117                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   12497     11.47%     11.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.47% # attempts to use FU when none available (Count)
